Date,Open,High,Low,Close,Volume,MarketValue,DividendYield,PriceToEarnings,EPS,PriceToCash,PriceToBook
25/09/2015,125.5726902,130.7602298,125.2297177,130.2457581,1264338,85020.63,1.78,16.9,9,19.24,3.6
28/09/2015,129.7741525,130.5029721,128.0163898,128.4022369,911940,83817.25,1.8,16.6,9,18.97,3.55
29/09/2015,126.4301223,128.5737324,125.8727889,127.587677,680951,83285.5,1.81,16.5,9,18.85,3.53
30/09/2015,130.1171182,134.0184907,130.1171182,132.9466858,1147870,86783.75,1.74,17.2,9,19.64,3.68
10/01/2015,134.6187318,134.8330928,130.7602331,130.9745941,853373,85496.38,1.77,17,9,19.35,3.62
10/02/2015,132.1321208,133.8898705,130.4600946,133.375412,1292841,87063.56,1.74,17.3,9,19.71,3.69
10/05/2015,135.8620112,138.091371,134.9616923,137.448288,821507,89722.25,1.68,17.8,9,20.31,3.8
10/06/2015,136.9767057,138.8630802,136.5908584,137.791275,676273,89946.13,1.68,17.9,9,20.36,3.81
10/07/2015,137.9627404,138.6915731,137.3196574,138.0056152,972618,90086.06,1.68,17.9,9,20.39,3.82
10/08/2015,137.3196553,139.3775288,137.3196553,138.9488068,871653,90701.69,1.67,18,9,20.53,3.84
10/09/2015,140.1921123,141.0924312,138.8630713,140.6208344,876495,91793.19,1.65,18.2,9,20.78,3.89
10/12/2015,141.2210406,142.2499709,140.2778599,141.6068878,594009,92436.81,1.63,18.4,9,20.92,3.92
13/10/2015,141.7783785,141.8641151,139.9777408,140.7065735,814071,91849.13,1.65,18.2,9,20.79,3.89
14/10/2015,140.2778517,142.2071008,139.3775328,140.7494354,809609,91877.13,1.64,18.2,9,20.8,3.89
15/10/2015,142.1642109,143.407502,141.6497392,143.1073914,669674,93416.31,1.62,18.5,9,21.14,3.96
16/10/2015,143.3217664,143.3217664,141.3925173,142.3785858,665526,92940.56,1.63,18.5,9,21.04,3.94
19/10/2015,142.1642233,144.5221944,142.1642233,144.3935699,487420,94255.88,1.6,18.7,9,21.33,3.99
20/10/2015,144.4364742,144.9080711,142.9359469,143.6647797,595670,93780.13,1.61,18.6,9,21.23,3.97
21/10/2015,143.4075144,143.7076251,141.3925157,142.0355988,827345,92716.69,1.63,18.4,9,20.99,3.93
22/10/2015,141.6926365,147.1374118,141.4354007,146.6229401,831461,95711.19,1.58,19,9,21.66,4.06
23/10/2015,147.951976,150.352822,147.3517678,148.8522949,1082689,97166.44,1.56,19.3,9,21.99,4.12
26/10/2015,147.9948558,148.166342,146.0656066,146.6229401,1046368,95711.19,1.58,19,9,21.66,4.06
27/10/2015,146.5800547,147.3517622,145.5082497,146.7086792,677452,95767.13,1.58,19,9,21.68,4.06
28/10/2015,147.4803804,148.5093106,146.7515477,147.2231445,638510,96103,1.57,19.1,9,21.75,4.07
29/10/2015,148.466434,149.6239888,147.0087817,149.1952667,865063,97390.31,1.55,19.3,9,22.04,4.13
30/10/2015,144.9080431,145.6797375,141.2210311,142.3785858,1566978,92940.56,1.63,18.5,9,21.04,3.94
11/02/2015,141.1781658,143.1502898,140.5779575,141.6068878,791907,92436.81,1.63,18.4,9,20.92,3.92
11/03/2015,141.349669,141.9927521,140.7923225,141.9927521,777956,92688.75,1.63,18.4,9,20.98,3.93
11/04/2015,142.7215453,144.1791974,141.521129,142.4214478,687722,92968.56,1.63,18.5,9,21.04,3.94
